종목명,현재가,거래량,YAHOO_TICKER,채권_유형,채권_유형_세분화,포트폴리오_구분
TIGER국채3년,"105,345",2159.0,114820.KS,단기국채,단기국채,기본 구성
KODEX200미국채혼합,"16,980",653786.0,069500.KS,국채,국채,기본 구성
ACE국고채3년,"102,635",1526.0,114460.KS,단기국채,기타채,기본 구성
RISEKIS국고채30년Enhanced,"71,310",74365.0,385560.KS,장기국채,기타채,기본 구성
KODEX국고채3년,"62,415",68471.0,114260.KS,단기국채,기타채,기본 구성
SOL국고채3년,"102,585",4633.0,438560.KS,단기국채,기타채,기본 구성
SOL국고채10년,"106,160",2555.0,438570.KS,중기국채,기타채,기본 구성
RISE국고채3년,"108,625",885.0,114100.KS,단기국채,기타채,기본 구성
ACE국고채10년,"89,015",15053.0,365780.KS,중기국채,기타채,기본 구성
KIWOOM국고채3년,"109,915",122.0,114470.KS,단기국채,기타채,기본 구성
KIWOOM국고채10년,"113,145",16961.0,148070.KS,중기국채,기타채,기본 구성
TIGER중장기국채,"51,720",22066.0,302190.KS,국채,국채,기본 구성
PLUS일본엔화초단기국채(합성),"10,145",11823.0,489000.KS,단기국채,단기국채,부가 구성
TIGERCD금리투자KIS(합성),"56,760",136832.0,357870.KS,단기금융상품,단기금융상품,부가 구성
SOL미국30년국채커버드콜(합성),"9,635",595874.0,473330.KS,장기국채,국채,부가 구성
KIWOOM국고채10년레버리지,"106,720",990.0,167860.KS,중기국채,레버리지채,부가 구성
RISE국채선물10년인버스,"56,865",15.0,295020.KS,중기국채,국채,부가 구성
PLUS국채선물3년,"56,740",9.0,298340.KS,단기국채,국채,부가 구성
KODEX국채선물3년인버스,"56,485",0.0,292770.KS,단기국채,국채,부가 구성
KODEX미국10년국채선물,"12,655",95781.0,308620.KS,중기국채,국채,부가 구성
RISE국채30년레버리지(합성),"20,625",1390.0,451670.KS,장기국채,장기국채,부가 구성
TIGER미국채10년선물,"13,435",152977.0,305080.KS,중기국채,중기국채,부가 구성
RISE미국장기국채선물인버스(H),"10,725",254.0,267450.KS,국채,국채,부가 구성
RISE국채선물10년,"54,065",500.0,295000.KS,중기국채,국채,부가 구성
RISE미국장기국채선물(H),"8,720",566.0,267440.KS,국채,국채,부가 구성
RISE국채선물5년추종,"51,375",4.0,397420.KS,중기국채,국채,부가 구성
RISE국채선물3년,"55,115",4.0,432600.KS,단기국채,국채,부가 구성
KODEX국채선물10년인버스,"56,555",108.0,176950.KS,중기국채,국채,부가 구성
PLUS국채선물10년,"55,115",322.0,289670.KS,중기국채,국채,부가 구성
KODEX국채선물10년,"68,665",5662.0,152380.KS,중기국채,국채,부가 구성
KODEXCD금리액티브(합성),"1,074,350",204320.0,459580.KS,단기금융상품,단기금융상품,부가 구성
RISECD금리액티브(합성),"105,120",2659.0,477080.KS,단기금융상품,단기금융상품,부가 구성
1QCD금리액티브(합성),"103,325",3503.0,491610.KS,단기금융상품,단기금융상품,부가 구성
SOLCD금리&머니마켓액티브,"50,050",41846.0,497880.KS,단기금융상품,단기금융상품,부가 구성
"ACE우량회사채(AA-이상)액티브/99,625", 120,55594.0,0099L0.KS,회사채,회사채,부가 구성
TIGER우량회사채액티브,"115,610",61322.0,438330.KS,회사채,회사채,부가 구성
PLUS우량회사채50,"121,215",2167.0,239660.KS,회사채,회사채,부가 구성
PLUS미국장기우량회사채,"100,635",2824.0,332620.KS,회사채,회사채,부가 구성
1Q단기금융채액티브,"108,655",2346.0,463290.KS,단기국채,단기금융상품,부가 구성
ACE단기채권알파액티브,"111,665",1394.0,440640.KS,단기국채,단기국채,부가 구성
PLUS단기채권액티브,"118,545",1211.0,278620.KS,단기국채,단기국채,부가 구성
KODEX미국종합채권ESG액티브(H),"101,895",25000.0,437080.KS,기타,미국국채,부가 구성
PLUS국공채머니마켓액티브,"51,890",5000.0,491230.KS,기타,미국국채,부가 구성
RISE미국S&P500엔화노출(합성H..,"11,550",5778.0,379780.KS,기타,미국국채,부가 구성
KIWOOM단기채권ESG액티브,"108,850",682.0,419890.KS,단기국채,단기국채,부가 구성
SOLKIS단기통안채,"111,515",1.0,363510.KS,단기국채,단기국채,부가 구성
RISE중기우량회사채,"106,105",544.0,136340.KS,회사채,회사채,부가 구성
RISE단기특수은행채액티브,"50,495",1539.0,0061Z0.KS,단기국채,단기국채,부가 구성
TIGER미국달러단기채권액티브,"13,600",286110.0,329750.KS,단기국채,단기국채,부가 구성
SOL초단기채권액티브,"53,845",192366.0,469830.KS,단기국채,단기국채,부가 구성
1Q중단기회사채(A-이상)액티브,"50,480",12070.0,0052T0.KS,단기국채,회사채,부가 구성
RISE단기채권알파액티브,"113,850",18442.0,385550.KS,단기국채,단기국채,부가 구성
PLUS미국단기회사채(AAA~A),"134,100",4759.0,332610.KS,단기국채,회사채,부가 구성
RISE단기통안채,"116,300",3817.0,196230.KS,단기국채,단기국채,부가 구성
TIGER단기채권액티브,"56,325",25492.0,272580.KS,단기국채,단기국채,부가 구성
KODEX단기채권,"113,605",10318.0,153130.KS,단기국채,단기국채,부가 구성
RISE단기국공채액티브,"114,150",7769.0,272560.KS,단기국채,단기국채,부가 구성
PLUS미국채30년액티브,"55,105",8288.0,464470.KS,장기국채,장기국채,부가 구성
ACE단기통안채,"102,620",3360.0,190620.KS,단기국채,단기국채,부가 구성
TIGER단기통안채,"111,550",43014.0,157450.KS,단기국채,단기국채,부가 구성
KIWOOM단기자금,"103,960",33293.0,130730.KS,단기국채,단기국채,부가 구성
SOL중단기회사채(A-이상)액티브,"51,145",82687.0,0016X0.KS,단기국채,회사채,부가 구성
KODEX단기채권PLUS,"114,965",72256.0,214980.KS,단기국채,단기국채,부가 구성
ACE미국달러단기채권액티브,"12,380",68291.0,440650.KS,단기국채,단기국채,부가 구성
KODEX종합채권(AA-이상)액티브,"116,130",59412.0,273130.KS,기타,액티브채,부가 구성
RISE미국30년국채액티브,"10,225",75676.0,481340.KS,장기국채,국채,부가 구성
TIGER국고채30년스트립액티브,"52,725",95536.0,451530.KS,장기국채,액티브채,부가 구성
