테마,종목명,거래량,현재가,YAHOO_TICKER,대표여부
AI / 반도체,SOXX,1750000.0,238.5,SOXX,X
AI / 반도체,SMH,2150000.0,252.3,SMH,O
클라우드 / AI,CLOU,6200000.0,23.8,CLOU,O
클라우드 / AI,BOTZ,5700000.0,32.6,BOTZ,X
전기차 / 자율주행,DRIV,4800000.0,29.4,DRIV,O
전기차 / 자율주행,IDRV,3600000.0,36.8,IDRV,X
스마트기기 / 생태계,IXJ,2300000.0,94.2,IXJ,X
스마트기기 / 생태계,XT,2800000.0,60.4,XT,O
헬스케어 / 바이오,XLV,5200000.0,144.3,XLV,O
헬스케어 / 바이오,IBB,2500000.0,130.9,IBB,X
2차전지,KODEX2차전지산업레버리지,46246310.0,"1,867",462330.KS,O
2차전지,TIGER2차전지TOP10레버리지,6730173.0,"1,764",364980.KS,X
2차전지,SOL2차전지소부장Fn,5209567.0,"5,430",455860.KS,X
2차전지,TIGER2차전지소재Fn,5122962.0,"5,800",462010.KS,X
2차전지,KODEX2차전지산업,4098944.0,"16,335",305720.KS,X
2차전지,TIGER2차전지TOP10,3328038.0,"10,350",364980.KS,X
2차전지,KODEX2차전지핵심소재10,2042431.0,"5,820",461950.KS,X
2차전지,TIGER2차전지테마,1002235.0,"20,135",305540.KS,X
2차전지,RISE2차전지액티브,587859.0,"7,905",422420.KS,X
2차전지,RISE2차전지TOP10,576738.0,"11,375",465330.KS,X
2차전지,SOL전고체배터리&실리콘음극재,346328.0,"14,165",0005D0.KS,X
2차전지,KIWOOMK-2차전지북미공급망,102594.0,"11,555",488200.KS,X
2차전지,BNK2차전지양극재,48664.0,"6,750",466810.KS,X
2차전지,ACE2차전지&친환경차액티브,26793.0,"8,230",385600.KS,X
2차전지,RISE배터리리사이클링,13527.0,"11,095",446700.KS,X
ESG,RISEESG사회책임투자,74407.0,"22,950",290130.KS,O
ESG,TIGERKEDI혁신기업ESG30,7015.0,"14,015",417630.KS,X
ESG,TIGERMSCIKOREAESG리더스,6442.0,"16,655",289260.KS,X
ESG,TIGER탄소효율그린뉴딜,5675.0,"13,880",376410.KS,X
ESG,KODEX200ESG,3526.0,"23,650",337160.KS,X
ESG,KODEX탄소효율그린뉴딜,507.0,"14,015",375770.KS,X
ESG,ACEESG액티브,455.0,"13,045",385590.KS,X
ESG,TIGERMSCIKOREAESG유니버설,224.0,"17,225",289250.KS,X
ESG,FOCUSESG리더스,16.0,"16,255",285690.KS,X
ESG,KODEXMSCIKOREAESG유니버설,11.0,"17,185",289040.KS,X
가치주,ACE주주환원가치주액티브,35795.0,"15,250",447430.KS,O
가치주,KODEX우량주,24255.0,"15,190",275300.KS,X
가치주,KODEX가치주,4099.0,"17,375",275290.KS,X
가치주,PLUSESG가치주액티브,50.0,"12,500",395750.KS,X
건설/인프라,TIGER리츠부동산인프라,2403767.0,"4,390",329200.KS,O
건설/인프라,KODEX건설,306113.0,"3,895",117700.KS,X
건설/인프라,TIGER200건설,173608.0,"4,480",102110.KS,X
건설/인프라,TIGER리츠부동산인프라TOP10액..,53860.0,"10,200",329200.KS,X
국내중소형주,KODEX200롱코스닥150숏선물,3327.0,"12,110",360140.KS,O
금융,KODEX증권,5320088.0,"16,180",102970.KS,O
금융,TIGER증권,4301323.0,"11,100",157500.KS,X
금융,KODEX은행,4254593.0,"13,070",091170.KS,X
금융,KODEX금융고배당TOP10타겟위클..,2453168.0,"13,040",0089D0.KS,X
금융,SOL금융지주플러스고배당,1280565.0,"17,950",484880.KS,X
금융,KODEX금융고배당TOP10,733131.0,"11,520",0089D0.KS,X
금융,TIGER은행고배당플러스TOP10,677291.0,"21,820",091220.KS,X
금융,HANARO증권고배당TOP3플러스,416188.0,"10,630",0111J0.KS,X
금융,KODEX보험,350311.0,"13,390",140700.KS,X
금융,RISE코리아금융고배당,176352.0,"15,870",498860.KS,X
금융,TIGER200금융,119973.0,"13,350",102110.KS,X
금융,TIGER은행,84428.0,"13,560",091220.KS,X
금융,RISE200금융,29293.0,"17,755",284980.KS,X
기타,TIGER화장품,9415592.0,"3,385",228790.KS,O
기타,TIGER지주회사,893737.0,"17,130",307520.KS,X
기타,TIGER200중공업,734521.0,"14,425",102110.KS,X
기타,ACE포스코그룹포커스,686215.0,"6,135",469170.KS,X
기타,KODEX삼성그룹,441972.0,"13,465",102780.KS,X
기타,TIGER여행레저,294963.0,"3,280",228800.KS,X
기타,TIGER미디어컨텐츠,284443.0,"5,640",228810.KS,X
기타,KODEX운송,109098.0,"5,795",140710.KS,X
기타,TIGERLG그룹+펀더멘털,98557.0,"9,245",138530.KS,X
기타,TIGERBBIG,97113.0,"7,570",364960.KS,X
기타,TIGER현대차그룹+펀더멘털,71437.0,"39,930",138540.KS,X
기타,TIGER우선주,62565.0,"18,200",261140.KS,X
기타,TIGER경기방어,61475.0,"12,195",139280.KS,X
기타,KODEX웹툰&드라마,59969.0,"3,115",395150.KS,X
